id,party,name,member_id
0,R,Lamar Alexander,A000360
1,R,Roy Blunt,B000575
2,D,Sherrod Brown,B000944
3,R,Richard Burr,B001135
4,D,Tammy Baldwin,B001230
5,R,John Boozman,B001236
6,R,John Barrasso,B001261
7,D,Michael Bennet,B001267
8,D,Richard Blumenthal,B001277
9,D,Cory Booker,B001288
10,D,Maria Cantwell,C000127
11,D,Benjamin Cardin,C000141
12,D,Thomas Carper,C000174
13,R,Michael Crapo,C000880
14,R,Susan Collins,C001035
15,R,Shelley Capito,C001047
16,R,John Cornyn,C001056
17,D,Bob Casey,C001070
18,R,Bob Corker,C001071
19,R,Bill Cassidy,C001075
20,D,Christopher Coons,C001088
21,R,Tom Cotton,C001095
22,R,Ted Cruz,C001098
23,D,Catherine Cortez Masto,C001113
24,D,Richard Durbin,D000563
25,D,Joe Donnelly,D000607
26,R,Steve Daines,D000618
27,D,Tammy Duckworth,D000622
28,R,Michael Enzi,E000285
29,R,Joni Ernst,E000295
30,D,Dianne Feinstein,F000062
31,R,Jeff Flake,F000444
32,R,Deb Fischer,F000463
33,R,Lindsey Graham,G000359
34,R,Charles Grassley,G000386
35,D,Kirsten Gillibrand,G000555
36,R,Cory Gardner,G000562
37,R,Orrin Hatch,H000338
38,R,Dean Heller,H001041
39,D,Mazie Hirono,H001042
40,D,Martin Heinrich,H001046
41,R,John Hoeven,H001061
42,D,Heidi Heitkamp,H001069
43,D,Kamala Harris,H001075
44,D,Margaret Hassan,H001076
45,R,James Inhofe,I000024
46,R,Johnny Isakson,I000055
47,R,Ron Johnson,J000293
48,D,Amy Klobuchar,K000367
49,I,Angus King,K000383
50,D,Tim Kaine,K000384
51,R,John Kennedy,K000393
52,D,Patrick Leahy,L000174
53,R,James Lankford,L000575
54,R,Mike Lee,L000577
55,D,Edward Markey,M000133
56,R,Mitch McConnell,M000355
57,D,Robert Menendez,M000639
58,R,Jerry Moran,M000934
59,D,Patty Murray,M001111
60,R,Lisa Murkowski,M001153
61,D,Christopher Murphy,M001169
62,D,Claire McCaskill,M001170
63,D,Jeff Merkley,M001176
64,D,Joe Manchin,M001183
65,D,Bill Nelson,N000032
66,R,Rob Portman,P000449
67,D,Gary Peters,P000595
68,R,Rand Paul,P000603
69,R,David Perdue,P000612
70,D,Jack Reed,R000122
71,R,Pat Roberts,R000307
72,R,Jim Risch,R000584
73,R,Marco Rubio,R000595
74,R,Mike Rounds,R000605
75,I,Bernard Sanders,S000033
76,D,Charles Schumer,S000148
77,R,Richard Shelby,S000320
78,D,Debbie Stabenow,S000770
79,D,Jeanne Shaheen,S001181
80,R,Tim Scott,S001184
81,D,Brian Schatz,S001194
82,R,Ben Sasse,S001197
83,R,Dan Sullivan,S001198
84,R,John Thune,T000250
85,R,Patrick Toomey,T000461
86,D,Jon Tester,T000464
87,R,Thom Tillis,T000476
88,D,Tom Udall,U000039
89,D,Chris Van Hollen,V000128
90,R,Roger Wicker,W000437
91,D,Ron Wyden,W000779
92,D,Sheldon Whitehouse,W000802
93,D,Mark Warner,W000805
94,D,Elizabeth Warren,W000817
95,R,Todd Young,Y000064
